Title,Genre,Language,Imdb_Score,Premiere,Runtime,Year,Imdb_Category
Notes for My Son,Drama,SPANISH,6.3,24/11/2020,83,2020,Good
"To Each, Her Own",Romantic comedy,FRENCH,5.3,24/06/2018,95,2018,Not Bad
The Lovebirds,Romantic comedy,ENGLISH,6.1,22/05/2020,87,2020,Good
The Perfection,Horror-thriller,ENGLISH,6.1,24/05/2019,90,2019,Good
Happy Anniversary,Romantic comedy,ENGLISH,5.8,30/03/2018,78,2018,Not Bad
Why Did You Kill Me?,Documentary,ENGLISH,5.6,14/04/2021,83,2021,Not Bad
Death to 2020,Comedy,ENGLISH,6.8,27/12/2020,70,2020,Good
Brene Brown: The Call to Courage,Documentary,ENGLISH,7.7,19/04/2019,76,2019,Excellent
Operation Christmas Drop,Romantic comedy,ENGLISH,5.8,05/11/2020,96,2020,Not Bad
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,ENGLISH,6.9,23/05/2019,30,2019,Good
Porta dos Fundos: The First Temptation of Christ,Comedy,PORTUGUESE,4.6,03/12/2019,46,2019,Awful
El Pepe: A Supreme Life,Documentary,SPANISH,7.1,27/12/2019,73,2019,Excellent
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,ENGLISH_MANDARIN,7.3,14/10/2016,79,2016,Excellent
"Out of Many, One",Documentary,ENGLISH,5.7,12/12/2018,34,2018,Not Bad
If Anything Happens I Love You,Animation / Short,ENGLISH,7.8,20/11/2020,12,2020,Excellent
Polar,Action,ENGLISH,6.3,25/01/2019,118,2019,Good
Shimmer Lake,Crime thriller,ENGLISH,6.3,09/06/2017,86,2017,Good
In the Tall Grass,Horror,ENGLISH,5.4,04/10/2019,101,2019,Not Bad
Pieces of a Woman,Drama,ENGLISH,7.1,07/01/2021,126,2021,Excellent
The Knight Before Christmas,Romantic comedy,ENGLISH,5.5,21/11/2019,92,2019,Not Bad
Unicorn Store,Comedy,ENGLISH,5.5,05/04/2019,92,2019,Not Bad
Our Souls at Night,Romance,ENGLISH,6.9,29/09/2017,103,2017,Good
Birders,Documentary,ENGLISH_SPANISH,6.4,25/09/2019,37,2019,Good
Christmas Crossfire,Thriller,GERMAN,4.8,04/12/2020,106,2020,Awful
Shawn Mendes: In Wonder,Documentary,ENGLISH,6.6,23/11/2020,83,2020,Good
"Game Over, Man!",Action/Comedy,ENGLISH,5.4,23/03/2018,101,2018,Not Bad
Icarus,Documentary,ENGLISH,7.9,04/08/2017,120,2017,Excellent
Forgive Us Our Debts,Drama,ITALIAN,6.0,04/05/2018,104,2018,Good
Clinical,Thriller,ENGLISH,5.1,13/01/2017,104,2017,Not Bad
Crazy About Her,Romantic comedy,SPANISH,6.6,26/02/2021,102,2021,Good
Night in Paradise,Drama,KOREAN,6.7,09/04/2021,132,2021,Good
Parchis: The Documentary,Documentary,SPANISH,6.7,10/07/2019,106,2019,Good
The Siege of Jadotville,War,ENGLISH,7.2,07/10/2016,108,2016,Excellent
I Am All Girls,Thriller,ENGLISH,5.8,14/05/2021,107,2021,Not Bad
Fyre: The Greatest Party That Never Happened,Documentary,ENGLISH,7.2,18/01/2019,97,2019,Excellent
In the Shadow of the Moon,Thriller,ENGLISH,6.2,27/09/2019,115,2019,Good
"Ariana Grande: Excuse Me, I Love You",Concert Film,ENGLISH,6.4,21/12/2020,97,2020,Good
Kevin Hart's Guide to Black History,Variety show,ENGLISH,5.5,08/02/2019,63,2019,Not Bad
Secret Obsession,Thriller,ENGLISH,4.4,18/07/2019,97,2019,Awful
Apostle,Horror-thriller,ENGLISH,6.3,12/10/2018,129,2018,Good
The Polka King,Comedy-drama,ENGLISH,5.9,12/01/2018,95,2018,Not Bad
American Factory,Documentary,ENGLISH,7.4,21/08/2019,110,2019,Excellent
Sentinelle,Action,FRENCH,4.7,05/03/2021,80,2021,Awful
Paradox,Musical/Western/Fantasy,ENGLISH,3.9,23/03/2018,73,2018,Awful
Coin Heist,Heist,ENGLISH,4.8,06/01/2017,97,2017,Awful
A California Christmas,Romantic comedy,ENGLISH,5.8,14/12/2020,107,2020,Not Bad
The Killer,Western,PORTUGUESE,6.1,10/11/2017,99,2017,Good
Tall Girl,Comedy-drama,ENGLISH,5.2,13/09/2019,102,2019,Not Bad
Uncorked,Drama,ENGLISH,6.3,27/03/2020,103,2020,Good
Outside the Wire,Action/Science fiction,ENGLISH,5.4,15/01/2021,114,2021,Not Bad
El Camino Christmas,Dark comedy,ENGLISH,5.7,08/12/2017,89,2017,Not Bad
The Beast,Drama,ITALIAN,5.2,27/11/2020,99,2020,Not Bad
The Trial of the Chicago 7,Drama,ENGLISH,7.8,16/10/2020,130,2020,Excellent
The American Meme,Documentary,ENGLISH,6.6,07/12/2018,98,2018,Good
The White Tiger,Drama,ENGLISH,7.1,22/01/2021,125,2021,Excellent
Holiday Rush,Family film,ENGLISH,4.9,28/11/2019,94,2019,Awful
Hope Frozen: A Quest to Live Twice,Documentary,THIA_ENGLISH,6.7,15/09/2020,80,2020,Good
The Paramedic,Thriller,SPANISH,5.6,16/09/2020,94,2020,Not Bad
Irreplaceable You,Drama,ENGLISH,6.4,16/02/2018,96,2018,Good
The Princess Switch,Romantic comedy,ENGLISH,6.0,16/11/2018,101,2018,Good
House Arrest,Comedy,HINDI,5.5,15/11/2019,104,2019,Not Bad
Yeh Ballet,Drama,HINDI,7.6,21/02/2020,117,2020,Excellent
The Other One: The Long Strange Trip of Bob Weir,Documentary,ENGLISH,7.3,22/05/2015,83,2015,Excellent
Imperial Dreams,Drama,ENGLISH,6.7,03/02/2017,87,2017,Good
ReMastered: Who Killed Jam Master Jay?,Documentary,ENGLISH,6.6,07/12/2018,58,2018,Good
All Because of You,Action comedy,MALAY,4.2,01/10/2020,101,2020,Awful
Seeing Allred,Documentary,ENGLISH,6.9,09/02/2018,95,2018,Good
Sand Castle,War,ENGLISH,6.3,21/04/2017,113,2017,Good
Caught by a Wave,Romantic teen drama,ITALIAN,5.7,25/03/2021,99,2021,Not Bad
Ginny Weds Sunny,Romantic comedy,HINDI,5.7,09/10/2020,125,2020,Not Bad
Dance Dreams: Hot Chocolate Nutcracker,Documentary,ENGLISH,7.1,27/11/2020,80,2020,Excellent
What Would Sophia Loren Do?,Documentary,ENGLISH,6.6,15/01/2021,32,2021,Good
Springsteen on Broadway,One-man show,ENGLISH,8.5,16/12/2018,153,2018,Excellent
The Main Event,Comedy,ENGLISH,4.8,10/04/2020,101,2020,Awful
I'm No Longer Here,Drama,SPANISH,7.3,27/05/2020,105,2020,Excellent
Blackpink: Light Up the Sky,Documentary,KOREAN,7.5,14/10/2020,79,2020,Excellent
Chopsticks,Comedy,HINDI,6.5,31/05/2019,100,2019,Good
Circus of Books,Documentary,ENGLISH,7.1,22/04/2020,92,2020,Excellent
The Legend of Cocaine Island,Documentary,ENGLISH,6.3,29/03/2019,87,2019,Good
Ma Rainey's Black Bottom,Drama,ENGLISH,7.0,18/12/2020,94,2020,Excellent
Elisa & Marcela,Romance,SPANISH,6.6,07/06/2019,118,2019,Good
Seriously Single,Comedy,ENGLISH,4.5,31/07/2020,107,2020,Awful
The Call,Drama,KOREAN,4.1,27/11/2020,112,2020,Awful
Angela's Christmas,Animation,ENGLISH,7.1,30/11/2018,30,2018,Excellent
Get the Goat,Comedy,PORTUGUESE,6.3,18/03/2021,97,2021,Good
What Did Jack Do?,Drama / Short,ENGLISH,6.5,20/01/2020,17,2020,Good
When We First Met,Romantic comedy,ENGLISH,6.4,09/02/2018,97,2018,Good
Alex Strangelove,Romantic comedy,ENGLISH,6.3,08/06/2018,99,2018,Good
The Mars Generation,Documentary,ENGLISH,6.4,05/05/2017,97,2017,Good
Bulbbul,Horror,HINDI,6.6,24/06/2020,94,2020,Good
The Great Hack,Documentary,ENGLISH,7.1,24/07/2019,114,2019,Excellent
How It Ends,Action-thriller,ENGLISH,5.0,13/07/2018,113,2018,Not Bad
The Incredible Jessica James,Comedy,ENGLISH,6.5,28/07/2017,83,2017,Good
The Forest of Love,Drama,JAPANESE,6.3,11/10/2019,151,2019,Good
Still Laugh-In: The Stars Celebrate,Variety show,ENGLISH,5.2,14/05/2019,60,2019,Not Bad
Canvas ,Animation / Short,ENGLISH,6.5,11/12/2020,9,2020,Good
Firebrand,Drama,MARATHI,5.2,22/02/2019,112,2019,Not Bad
#REALITYHIGH,Comedy,ENGLISH,5.2,08/09/2017,99,2017,Not Bad
Rattlesnake,Horror,ENGLISH,4.6,25/10/2019,85,2019,Awful
Murder to Mercy: The Cyntoia Brown Story,Documentary,ENGLISH,6.4,29/04/2020,97,2020,Good
Sextuplets,Comedy,ENGLISH,4.4,16/08/2019,99,2019,Awful
Cuba and the Cameraman ,Documentary,ENGLISH,8.3,24/11/2017,114,2017,Excellent
Christmas Inheritance,Romantic drama,ENGLISH,5.7,15/12/2017,104,2017,Not Bad
Mank,Biopic,ENGLISH,6.9,04/12/2020,132,2020,Good
The Crimes That Bind,Crime drama,SPANISH,6.6,20/08/2020,99,2020,Good
Red Dot,Thriller,SWEDISH,5.5,11/02/2021,86,2021,Not Bad
Ghosts of Sugar Land,Documentary,ENGLISH,5.5,16/10/2019,21,2019,Not Bad
